Cluster ID,confidence_score,Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2,canonical_Address,canonical_Length of Day,canonical_Fax,canonical_Center Director,canonical_Head Start Fund,canonical_Program Name,canonical_Email Address,canonical_Site name,canonical_NAEYC Program Id,canonical_Director,canonical_Progmod,canonical_Executive Director,canonical_Number per Site HS,canonical_Number per Site EHS,canonical_Eearly Head Start Fund,canonical_Purple binder service type,canonical_NAEYC Valid Until,canonical_Column,canonical_ECE Available Programs,canonical_Zip,canonical_Source,canonical_Phone,canonical_Ounce of Prevention Description,canonical_CC fund,canonical_Neighborhood,canonical_Program Option,canonical_Column2,canonical_Agency,canonical_IDHS Provider ID,canonical_Funded Enrollment,canonical_Id,canonical_Website
79,0.56641553839,2222,DFSS_AgencySiteLies_2012.csv,Howard Area Community Center HOWARD AREA,7510 N. Ashland ,60626,2626622,,,,,,,Howard Area Community Center,,,,,,,,,,,www.howardarea.org,Bruce Rasey,Stephania Koliarakis,,,,,,,b'7510 n ashland',b'half day/full day',b'',b'www.howardarea.org',b'',b'child care',b'09/30/14',b'howard area community center - howard area community center',b'',b'',b'no',"b'7071ps(hs collaboration with childcare & prek), 2765ps(child'",b'',b'',b'stephania koliarakis',b'skoliarakis@howardarea.org',b'stephania koliarakis',b'',b'bruce rasey',b'60626',b'cps_early_childhood_portal_scrape.csv',b'7647610',b'372557',b'yes',b'',b'rogers park',b'',b'',b'',b'howard area community center',b'1775',b'yes'
526,0.806204542518,2223,DFSS_AgencySiteLies_2012.csv,Korean American Community Services Korean American Community Services,4300 N. California ,60618,5838281,,,,,,,Korean American Community Services,,,,,,,,,,,www.kacschicago.org,In chul Choi,Hye K. Choi,,,,,,,b'4300 n california',b'half day/full day',b'',b'www.kacschicago.org',b'',b'child care',b'04/30/14',b'korean american community services - korean american community services',b'',b'',b'no',"b'7131ps(hs collaboration with childcare & prek), 2808sa(schoo'",b'',b'',b'hye k. choi',b'hchoi@kacschicago.org',b'hye k. choi',b'',b'in chul choi',b'60618',b'cps_early_childhood_portal_scrape.csv',b'5838281',b'585396',b'yes',b'',b'irving park',b'child care',b'',b'',b'korean american community services',b'123',b'yes'
558,0.915677,2224,DFSS_AgencySiteLies_2012.csv,Lutheran Social Services of Illinois ARRA Home Based Initiative - Roseland Christian Ministries,10 W 35th St 15th Floor ,60616,9494789,,,,,,,Lutheran Social Services of Illinois,,,,,,,,,,,www.lssi.org,John Schnier,,,,,,,,b'10 w 35th st 15th floor',b'',b'',b'www.lssi.org',b'',b'',b'',b'lutheran social services of illinois arra home based initiative - roseland christian ministries',b'',b'',b'no',b'',b'',b'',b'sophia coleman',b'',b'',b'',b'john schnier',b'60616',b'dfss_agencysitelies_2012.csv',b'9494789',b'',b'yes',b'',b'douglas',b'',b'',b'',b'lutheran social services of illinois',b'2224',b'no'
80,0.499613364538,2225,DFSS_AgencySiteLies_2012.csv,Lutheran Social Services of Illinois ENGLEWOOD MESSIAH,1910 W. 64th Street ,60636,4365110,,,,,,,Lutheran Social Services of Illinois,,,,,,,,,,,www.lssi.org,John Schnier,Delphine Whittlesey,,,,,,,b'1910 w 64th street',b'half day/full day',b'',b'www.lssi.org',b'',b'head start',b'12/31/13',b'lutheran social services of illinois englewood messiah',b'',b'',b'no',b'',b'',b'',b'delphine whittlesey',b'delphine.whittlesey@lssi.org',b'delphine whittlesey',b'',b'john schnier',b'60636',b'chapin_dfss_providers_2011_070212.csv',b'4365110',b'557873',b'yes',b'',b'west englewood',b'',b'',b'',b'lutheran social services of illinois',b'610',b'no'
104,0.594410280387,2226,DFSS_AgencySiteLies_2012.csv,Lutheran Social Services of Illinois NORTH AUSTIN HEAD START,1500 N. Mason ,60651,2371930,,,,,,,Lutheran Social Services of Illinois,,,,,,,,,,,www.lssi.org,John Schnier,Doris Holden,,,,,,,b'1500 n mason',"b'8-11 hours, varies by facility'",b'',b'www.lssi.org',b'',b'community partnerships',b'',b'lutheran social services north austin',b'',b'',b'no',"b'4115it(child care it center), 7015ps(hs collaboration with c'",b'',b'',b'doris holden',b'',b'doris holden',b'',b'john schnier',b'60651',b'cps_early_childhood_portal_scrape.csv',b'2371930',b'',b'yes',b'austin',b'austin',b'child care',b'',b'',b'lutheran social services of illinois',b'2226',b'no'
29,0.485389065742,2227,DFSS_AgencySiteLies_2012.csv,Lutheran Social Services of Illinois ROGERS PARK,1754 W. Devon ,60660,6354600,,,,,,,Lutheran Social Services of Illinois,,,,,,,,,,,www.lssi.org,John Schnier,Deloris McDowell ,,,,,,,b'1754 w devon',b'extended day',b'',b'www.lssi.org',b'',b'child care',b'',b'lutheran social services of illinois - rogers park / lssi',b'',b'',b'no',b'7134ps(hs collaboration with childcare & prek)',b'',b'',b'deloris mcdowell',b'',b'deloris mcdowell',b'',b'john schnier',b'60660',b'cps_early_childhood_portal_scrape.csv',b'2623366',b'',b'yes',b'rogers park',b'rogers park',b'child care',b'',b'',b'lutheran social services of illinois',b'52',b'no'
287,0.431218236685,2228,DFSS_AgencySiteLies_2012.csv,Lutheran Social Services of Illinois TRINIDAD LUTHERAN,2921 W. Division ,60622,6354600,,,,,,,Lutheran Social Services of Illinois,,,,,,,,,,,www.lssi.org,John Schnier,Emilia Espinal ,,,,,,,b'2921 w division',b'half day/full day',b'',b'www.lssi.org',b'',b'head start',b'',b'lutheran social services of illinois trinidad lutheran',b'',b'',b'no',b'',b'',b'',b'emilia espinal',b'',b'emilia espinal',b'',b'john schnier',b'60622',b'dfss_agencysitelies_2012.csv',b'6354600',b'',b'yes',b'',b'west town',b'',b'',b'',b'lutheran social services of illinois',b'673',b'no'
407,0.464755407401,2229,DFSS_AgencySiteLies_2012.csv,Lutheran Social Services of Illinois WINTHROP CHILDREN'S CENTER,4848 N. Winthrop ,60640,8783210,,,,,,,Lutheran Social Services of Illinois,,,,,,,,,,,www.lssi.org,John Schnier,,,,,,,,b'4848 n winthrop',"b'8-11 hours, varies by facility'",b'',b'www.lssi.org',b'',b'community partnerships',b'09/30/12',"b""lutheran social services of illinois - winthrop children's center / lssi""",b'',b'',b'no',"b'2664it(child care it center), 7133ps(hs collaboration with c'",b'',b'',b'',b'',b'',b'',b'john schnier',b'60640',b'cps_early_childhood_portal_scrape.csv',b'8783210',b'395889',b'yes',b'uptown',b'uptown',b'child care',b'',b'',b'lutheran social services of illinois',b'383',b'no'
170,0.654234194756,2230,DFSS_AgencySiteLies_2012.csv,Marcy Newberry Association Austin Town Hall,5610 W. Lake ,60644,2611505,,,,,,,Marcy Newberry Association,,,,,,,,,,,www.marcy-newberry.org,Gertrude Ricks,Marsha Ballenger,,,,,,,b'5610 w lake',"b'8-11 hours, varies by facility'",b'',b'www.marcy-newberry.org',b'',b'community partnerships',b'',b'marcy newberry association austin town hall',b'',b'',b'no',"b'7028ps(hs collaboration with childcare & prek), 4155ps(child'",b'',b'',b'marsha ballenger',b'',b'marsha ballenger',b'',b'gertrude ricks',b'60644',b'cps_early_childhood_portal_scrape.csv',b'2611505',b'',b'yes',b'austin',b'austin',b'child care',b'',b'',b'marcy newberry association',b'2230',b'no'
202,0.664921549234,2231,DFSS_AgencySiteLies_2012.csv,Marcy Newberry Association FOSCO,1312 S. Racine ,60608,7466024,,,,,,,Marcy Newberry Association,,,,,,,,,,,www.marcy-newberry.org,Gertrude Ricks,Kimberly Johnson ,,,,,,,b'1312 s racine',b'half day/full day',b'',b'www.marcy-newberry.org',b'',b'head start',b'',b'marcy newberry association - fosco abla center',b'',b'',b'yes',"b'4195it(child care it center), 7086ps (hs collaboration with'",b'',b'',b'kimberly johnson',b'',b'kimberly johnson',b'',b'gertrude ricks',b'60608',b'cps_early_childhood_portal_scrape.csv',b'7466024',b'',b'yes',b'',b'near west side',b'early head start',b'',b'',b'marcy newberry association',b'1237',b'no'
82,0.305225789547,2232,DFSS_AgencySiteLies_2012.csv,Marcy Newberry Association Learning Tree 1,8128 S Kedzie ,60652,7788802,,,,,,,Marcy Newberry Association,,,,,,,,,,,www.marcy-newberry.org,Gertrude Ricks,Joanne Williams ,,,,,,,b'8128 s kedzie',b'half day/full day',b'',b'www.marcy-newberry.org',b'',b'head start',b'',b'marcy newberry association learning tree 1',b'',b'',b'no',b'',b'',b'',b'ms. vaughn',b'',b'joanne williams',b'',b'gertrude ricks',b'60652',b'chapin_dfss_providers_2011_070212.csv',b'7788802',b'',b'no',b'',b'ashburn',b'',b'',b'',b'marcy newberry association',b'1750',b'no'
499,0.911903,2233,DFSS_AgencySiteLies_2012.csv,Marcy Newberry Association Learning Tree 2,8322 S Pulaski Rd. ,60652,8843345,,,,,,,Marcy Newberry Association,,,,,,,,,,,www.marcy-newberry.org,Gertrude Ricks,Joanne Williams ,,,,,,,b'8322 s pulaski rd.',b'',b'',b'www.marcy-newberry.org',b'',b'',b'',b'marcy newberry association learning tree 2',b'',b'',b'no',b'',b'',b'',b'joanne williams',b'',b'joanne williams',b'',b'gertrude ricks',b'60652',b'dfss_agencysitelies_2012.csv',b'8843345',b'',b'yes',b'',b'ashburn',b'',b'',b'',b'marcy newberry association',b'2233',b'no'
593,0.713495880365,2234,DFSS_AgencySiteLies_2012.csv,Marcy Newberry Association Marcy Center,1539 S. Springfield ,60623,7622300,,,,,,,Marcy Newberry Association,,,,,,,,,,,www.marcy-newberry.org,Gertrude Ricks,Barbara Tucker ,,,,,,,b'1539 s springfield',b'half day/full day',b'',b'www.marcy-newberry.org',b'',b'state pre-kindergarten',b'',b'marcy newberry association - marcy center',b'',b'',b'no',"b'2751it(child care it center), 7135ps(hs collaboration with c'",b'',b'',b'barbara tucker',b'',b'barbara tucker',b'',b'gertrude ricks',b'60623',b'cps_early_childhood_portal_scrape.csv',b'7612300',b'',b'yes',b'north lawndale',b'north lawndale',b'child care',b'',b'',b'marcy newberry association',b'37',b'yes'
1094,,2235,DFSS_AgencySiteLies_2012.csv,Marcy Newberry Association Newberry Center,1073 W. Maxwell ,60608,8297555,,,,,,,Marcy Newberry Association,,,,,,,,,,,www.marcy-newberry.org,Gertrude Ricks,Vernon Lyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0.534954706828,2236,DFSS_AgencySiteLies_2012.csv,Marcy Newberry Association St. John, 5701 W. Midway Park ,60644,3795533,,,,,,,Marcy Newberry Association,,,,,,,,,,,www.marcy-newberry.org,Gertrude Ricks,Willie Mae Cole,,,,,,,b'5701 w midway park',b'extended day',b'',b'www.marcy-newberry.org',b'',b'child care',b'',b'marcy newberry association - st. john greater holy temple',b'',b'',b'no',b'3149ps(hs collaboration with childcare)',b'',b'',b'willie mae cole',b'',b'willie mae cole',b'',b'gertrude ricks',b'60644',b'cps_early_childhood_portal_scrape.csv',b'9480094',b'',b'yes',b'',b'austin',b'',b'',b'',b'marcy newberry association',b'152',b'no'
698,0.797346,2237,DFSS_AgencySiteLies_2012.csv,Mary Crane League Children's Learn and Play,6512 S. Halsted ,60621,9667162,,,,,,,Mary Crane League,,,,,,,,,,,www.marycrane.org,Lavetter Terry,Mashanda Scott ,,,,,,,b'6512 s halsted st',b'',b'',b'www.marycrane.org',b'',b'',b'',"b""mary crane league children's learn and play""",b'',b'',b'no',b'',b'',b'',b'',b'',b'mashanda scott',b'',b'lavetter terry',b'60621',b'chapin_dfss_providers_2011_070212.csv',b'9667162',b'',b'yes',b'',b'englewood',b'',b'',b'',b'mary crane league',b'1824',b'no'
598,0.574995025992,2238,DFSS_AgencySiteLies_2012.csv,Mary Crane League Mary Crane Center (East),2974 N. Clybourn ,60618,9388130,,,,,,,Mary Crane League,,,,,,,,,,,www.marycrane.org,Lavetter Terry,Martuice Williams ,,,,,,,b'2974 n clybourn ave',b'half day/full day',b'(773) 325-2530',b'www.marycrane.org',b'',b'child care',b'08/01/16',b'mary crane league',b'',b'',b'no',"b'4145it(child care it center), 4236ps(hs collaboration with c'",b'',b'',b'jennifer jones',b'info@marycrane.org',b'martuice williams',b'',b'lavetter terry',b'60618',b'cps_early_childhood_portal_scrape.csv',b'3485528',b'722999',b'yes',b'north center',b'north center',b'',b'',b'9356-4723-5433-005',b'mary crane league',b'94',b'yes'
139,0.274898931384,2239,DFSS_AgencySiteLies_2012.csv,Mary Crane League Mary Crane Center (Lake & Pulaski),316 N. Pulaski ,60624,2655954,,,,,,,Mary Crane League,,,,,,,,,,,www.marycrane.org,Lavetter Terry,Marcia Newsome ,,,,,,,b'316 n pulaski rd',"b'8-11 hours, varies by facility'",b'',b'www.marycrane.org',b'',b'community partnerships',b'',b'bethel new life - lake and pulaski',b'',b'',b'yes',"b'4374it(child care it center), 4374ps(child care ps center),'",b'',b'',b'',b'',b'marcia newsome',b'',b'lavetter terry',b'60624',b'cps_early_childhood_portal_scrape.csv',b'2653830',b'',b'yes',b'',b'west garfield park',b'',b'',b'',b'mary crane league',b'98',b'yes'
86,0.323044121265,2240,DFSS_AgencySiteLies_2012.csv,Mary Crane League Mary Crane Center (Molade),1120 N. Lamon ,60651,2877365,,,,,,,Mary Crane League,,,,,,,,,,,www.marycrane.org,Lavetter Terry,Kathleen Pesek ,,,,,,,b'1120 n lamon',b'half day/full day',b'',b'www.marycrane.org',b'',b'child care',b'',b'bethel new life',b'',b'',b'yes',"b'4372it(child care it center), 4372ps(child care ps center),'",b'',b'',b'',b'',b'kathleen pesek',b'',b'lavetter terry',b'60651',b'cps_early_childhood_portal_scrape.csv',b'6267760',b'',b'yes',b'austin',b'austin',b'child care',b'',b'',b'mary crane league',b'17',b'yes'
87,0.594944608212,2241,DFSS_AgencySiteLies_2012.csv,Mary Crane League Mary Crane Center (Morse),1545 W. Morse ,60626,2621390,,,,,,,Mary Crane League,,,,,,,,,,,www.marycrane.org,Lavetter Terry,Traci Medina,,,,,,,b'1545 w morse',"b'8-11 hours, varies by facility'",b'',b'www.marycrane.org',b'',b'community partnerships',b'',b'mary crane league mary crane center (morse)',b'',b'',b'no',b'4270ps(hs collaboration with childcare & prek)',b'',b'',b'guadalupe herrera',b'',b'traci medina',b'',b'lavetter terry',b'60626',b'cps_early_childhood_portal_scrape.csv',b'2621390',b'',b'yes',b'',b'rogers park',b'child care',b'',b'',b'mary crane league',b'38',b'no'
559,0.307770873819,2242,DFSS_AgencySiteLies_2012.csv,Mary Crane League Mary Crane Center (North),2905 N. Leavitt ,60618,9388130,,,,,,,Mary Crane League,,,,,,,,,,,www.marycrane.org,Lavetter Terry,Martuice Williams ,,,,,,,b'2905 n leavitt',b'extended day',b'',b'www.marycrane.org',b'',b'child care',b'',b'mary crane',b'',b'',b'yes',b'',b'',b'',b'lavetter terry',b'',b'martuice williams',b'',b'cp',b'60618',b'ece chicago find a school scrape.csv',b'3485528',b'',b'no',b'north center',b'north center',b'child care',b'',b'',b'mary crane league',b'2642',b'no'
699,0.409760320187,2243,DFSS_AgencySiteLies_2012.csv,Mary Crane League Mary Crane Center (West),2820 N. Leavitt ,60618,9388130,,,,,,,Mary Crane League,,,,,,,,,,,www.marycrane.org,Lavetter Terry,Martuice Williams ,,,,,,,b'2820 n leavitt',b'half day/full day',b'',b'www.marycrane.org',b'',b'child care',b'',b'mary crane league - mary crane - west',b'',b'',b'yes',b'4237ps(hs collaboration with childcare & prek)',b'',b'',b'emily hamlin',b'',b'martuice williams',b'',b'lavetter terry',b'60618',b'cps_early_childhood_portal_scrape.csv',b'3485528',b'',b'yes',b'',b'north center',b'',b'',b'',b'mary crane league',b'86',b'no'
1095,,2244,DFSS_AgencySiteLies_2012.csv,Mary Crane League Mary Crane Center (St. Martin De Porres),6423 S. Woodlawn ,60637,9388130,,,,,,,Mary Crane League,,,,,,,,,,,www.marycrane.org,Lavetter Terry,Victoria Harbin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,0.629370957613,2245,DFSS_AgencySiteLies_2012.csv,Metropolitan Family Services Midway Children's Center,3215 W. 63rd St. ,60629,8842350,,,,,,,Metropolitan Family Services,,,,,,,,,,,www.metrofamily.org,Laurie Sedio,Guadalupe Valdine,,,,,,,b'3215 w 63rd st',b'half day/full day',b'',b'www.metrofamily.org',b'',b'head start',b'08/01/16',b'metropolitan family services',b'',b'',b'no',"b'4331it(child care it center), 3783ps(hs collaboration with c'",b'',b'',b'guadalupe valdine',b'valdivig@metrofamily.org',b'guadalupe valdine',b'',b'cp',b'60629',b'cps_early_childhood_portal_scrape.csv',b'8842350',b'722978',b'yes',b'chicago lawn',b'chicago lawn',b'child care',b'',b'',b'metropolitan family services',b'2951',b'yes'
695,0.589214662711,2246,DFSS_AgencySiteLies_2012.csv,Metropolitan Family Services Midway Head Start,6422 S. Kedzie ,60629,7374790,,,,,,,Metropolitan Family Services,,,,,,,,,,,www.metrofamily.org,Laurie Sedio,Rhonda Freeman,,,,,,,b'6422 s kedzie',"b'8-11 hours, varies by facility'",b'',b'www.metrofamily.org',b'',b'community partnerships',b'',b'metropolitan family services midway head start',b'',b'',b'no',b'',b'',b'',b'rhonda freeman',b'',b'rhonda freeman',b'',b'laurie sedio',b'60629',b'cps_early_childhood_portal_scrape.csv',b'7374790',b'',b'yes',b'',b'chicago lawn',b'',b'',b'',b'metropolitan family services',b'2246',b'no'
701,0.901882112026,2247,DFSS_AgencySiteLies_2012.csv,Metropolitan Family Services North Children's Center,3249 N Central Ave. ,60634,3713770,,,,,,,Metropolitan Family Services,,,,,,,,,,,www.metrofamily.org,Fernando Freire,Dawn Delgado,,,,,,,b'3249 n central ave',b'extended day',b'',b'www.metrofamily.org',b'',b'child care',b'',"b""metropolitan family services - north children's center""",b'',b'',b'no',"b'4329it(child care it center), 4330ps(hs collaboration with c'",b'',b'',b'dawn delgado',b'',b'dawn delgado',b'',b'fernando freire',b'60634',b'cps_early_childhood_portal_scrape.csv',b'3713700',b'',b'yes',b'',b'portage park',b'',b'',b'',b'metropolitan family services',b'103',b'yes'
555,0.472704847654,2248,DFSS_AgencySiteLies_2012.csv,North Avenue Day Nursery North Avenue Day Nursery,2001 W. Pierce ,60622,3424499,,,,,,,North Avenue Day Nursery,,,,,,,,,,,www.nadnkids.org,Steve Koll,Steve Koll,,,,,,,b'2001 w pierce',b'half day/full day',b'',b'www.nadnkids.org',b'',b'child care',b'04/30/15',b'north avenue day nursery - north avenue day nursery',b'',b'',b'no',"b'3270ps(hs collaboration with childcare & prek), 2742ps(child'",b'',b'',b'steve koll',b'steven@nadnkids.org',b'steve koll',b'',b'cp',b'60622',b'cps_early_childhood_portal_scrape.csv',b'3424499',b'274678',b'yes',b'west town',b'west town',b'child care',b'',b'',b'north avenue day nursery',b'60',b'yes'
579,0.671237031619,2249,DFSS_AgencySiteLies_2012.csv,Northwestern University Settlement House NORTHWESTERN UNIVERSITY SETTLEMENT HOUSE,1400 W. Augusta ,60622,2787471,,,,,,,Northwestern University Settlement House,,,,,,,,,,,www.nush.org,Jose Alatorre, Linda McLaren,,,,,,,b'1400 w. augusta blvd.',"b'8-11 hours, varies by facility'",b'(773) 278-7536',b'www.nush.org',b'',b'community partnerships',b'04/30/14',b'northwestern university settlement',b'',b'',b'no',b'',b'',b'',b'linda mclaren',b'',b'linda mclaren',b'',b'jose alatorre',b'60622',b'cps_early_childhood_portal_scrape.csv',b'2787471',b'587968',b'yes',b'west town',b'west town',b'',b'',b'5701-4911-5433-005',b'northwestern university settlement house',b'245',b'no'
705,0.807531803846,2250,DFSS_AgencySiteLies_2012.csv,Onward Neighborhood House ABC Preschool,3800 N. Austin Avenue ,60634,6859033,,,,,,,Onward Neighborhood House,,,,,,,,,,,www.onwardhouse.org,Mario Garcia,Patricia Bentz ,,,,,,,b'3800 n austin avenue',b'half day/full day',b'',b'www.onwardhouse.org',b'',b'head start',b'',b'onward neighborhood house abc preschool',b'',b'',b'no',b'',b'',b'',b'patricia bentz',b'',b'patricia bentz',b'',b'mario garcia',b'60634',b'dfss_agencysitelies_2012.csv',b'6859033',b'',b'yes',b'',b'dunning',b'',b'',b'',b'onward neighborhood house',b'2250',b'no'
